Address,Price,zipcode
"416 McKee Pl, Pittsburgh, PA 15213",1550.0,15213
"Pittsburgh, PA 15227",1000.0,15227
"826 E Warrington Ave, Pittsburgh, PA 15210",1350.0,15210
"1027 Salter Way, Pittsburgh, PA 15212",1820.0,15212
"Pittsburgh, PA 15237",2000.0,15237
"1823 Penn Ave, Pittsburgh, PA 15221",1922.5,15221
"131-133 W Sycamore St, Pittsburgh, PA 15211",1622.0,15211
"Pittsburgh, PA 15213",1750.0,15213
"304 S Graham St Apt 1D, Pittsburgh, PA 15232",1200.0,15232
"1034 Murray Hill Ave, Pittsburgh, PA 15217",2110.0,15217
"Pittsburgh, PA 15232",1590.0,15232
"Pittsburgh, PA 15211",1250.0,15211
"27 S 14th St, Pittsburgh, PA 15203",1595.0,15203
"621-623 Lincoln Ave, East Liberty, PA 15206",895.0,15206
"711 Wisteria Ave, Pittsburgh, PA 15228",950.0,15228
"5400 Ellsworth Ave, Pittsburgh, PA 15232",925.0,15232
"430 Greenfield Ave, Pittsburgh, PA 15207",975.0,15207
"900 North Ave, Pittsburgh, PA 15209",675.0,15209
"244 Maytide St, Pittsburgh, PA 15227",950.0,15227
"832 Evergreen Ave, Pittsburgh, PA 15209",895.0,15209
"2910 Voelkel Ave, Dormont, PA 15216",815.0,15216
"841 Heberton St, Pittsburgh, PA 15206",1050.0,15206
"1524 McFarland Rd, Dormont, PA 15216",1025.0,15216
"19 Kosciusko Way, Pittsburgh, PA 15203",1450.0,15203
"225 S Millvale Ave, Pittsburgh, PA 15224",1225.0,15224
"Pittsburgh, PA 15205",999.0,15205
"Pittsburgh, PA 15212",995.0,15212
"Pittsburgh, PA 15205",999.0,15205
"Pittsburgh, PA 15210",900.0,15210
"796 Hazelwood Ave, Pittsburgh, PA 15217",795.0,15217
"Pittsburgh, PA 15217",4500.0,15217
"Pittsburgh, PA 15201",5700.0,15201
"3010 Jane St, Pittsburgh, PA 15203",1575.0,15203
"853 Beech Ave, Pittsburgh, PA 15233",875.0,15233
"5140 Willock Rd E, Pittsburgh, PA 15236",1115.0,15236
"1241 Mutual St, Pittsburgh, PA 15204",895.0,15204
"1690 Potomac Ave, Dormont, PA 15216",874.5,15216
"Pittsburgh, PA 15211",995.0,15211
"Pittsburgh, PA 15212",1800.0,15212
"Pittsburgh, PA 15234",2800.0,15234
"Pittsburgh, PA 15219",925.0,15219
"Pittsburgh, PA 15218",1050.0,15218
"Pittsburgh, PA 15229",1695.0,15229
"Pittsburgh, PA 15213",1135.0,15213
"Pittsburgh, PA 15229",1695.0,15229
"Pittsburgh, PA 15233",1310.0,15233
"Pittsburgh, PA 15233",2160.0,15233
"Pittsburgh, PA 15233",1725.0,15233
"Pittsburgh, PA 15214",1100.0,15214
"Pittsburgh, PA 15206",1200.0,15206
"Pittsburgh, PA 15203",5200.0,15203
"Pittsburgh, PA 15238",3650.0,15238
"Pittsburgh, PA 15205",940.0,15205
"Pittsburgh, PA 15202",1750.0,15202
"Pittsburgh, PA 15206",1450.0,15206
"800 S Negley Ave, Pittsburgh, PA 15232",1255.0,15232
"Pittsburgh, PA 15206",1515.0,15206
"Pittsburgh, PA 15217",1350.0,15217
"Pittsburgh, PA 15217",1700.0,15217
"Pittsburgh, PA 15201",2000.0,15201
"Pittsburgh, PA 15201",1950.0,15201
"Pittsburgh, PA 15202",1950.0,15202
"5435 Claybourne St, Pittsburgh, PA 15232",1700.0,15232
"Pittsburgh, PA 15227",1275.0,15227
"Pittsburgh, PA 15214",4800.0,15214
"Pittsburgh, PA 15215",925.0,15215
"Pittsburgh, PA 15211",1200.0,15211
"2041 Wightman St, Pittsburgh, PA 15217",1227.5,15217
"Pittsburgh, PA 15206",2500.0,15206
"Pittsburgh, PA 15205",1198.0,15205
